Movie,Year,Certificate,Genre,Overview,Runtime,Rating,No.of.Ratings,Director,Hero,Heroine
Devadasu,2006,NA,Romance            ,"    Devadas is the typical poor guy, while Bhanumati is a rich NRI girl whose father is the senator of New York. They fall in love when the girl comes to India to learn classical dance. Coming ...                See full summaryÂ Â»",175,5,283,Y.V.S. Chowdary,Ram, Ileana D'Cruz
Kodama Simham,1990,U,"Action, Adventure, Western            ",    Chiranjeevi has to get back the treasures hidden by his father by fighting the bad guys to release his mother from jail,141,6.7,283,K. Raghavendra Rao,Chiranjeevi, Shobana
April 1 Vidudala,1991,U,"Comedy, Romance, Thriller            ",    A habitual liar and con-man tries to transform himself into a honest and truthful person to win the heart of his ladylove.,144,7.7,282,V. Ravichandran,Rajendra Prasad, Shobana
Lankeshwarudu,1989,U,"Action, Drama            ",    An orphan grows to become a powerful gangster but faces challenges from within his gang as well as his police officer brother-in-law.,157,6.6,281,Dasari Narayana Rao,Chiranjeevi,Radha
Kondaveeti Donga,1990,U,"Action, Adventure, Drama            ","    Unable to tolerate the worries of the villagers, Raja takes aid of a fairy tale hero 'Kondaveeti Donga', transforms himself into one and sets out to save the people from an evil hypnotizer Kadra.",151,6.9,280,K. Raghavendra Rao,Chiranjeevi, Radha
O Pitta Katha,2020,U,"Drama, Thriller            ",    Two men fall deeply in love with the same woman but when she suddenly gets kidnapped they get involved in the case to rescue her.,128,6.9,278,Chandu Muddu,Sanjay Rao, Nithya Shetty
Mutamestri,1993,U,"Action, Drama            ",    The story of a vegetable market worker who rises to the state of a minister.,163,7.1,278,A. Kodandarami Reddy,Chiranjeevi, Meena
Subbu,2001,NA,Drama            ,nan,0,4.4,277,Suresh Varma Alluri,Nitin, Aarthi Agarwal
Pilla Nuvvu Leni Jeevitham,2014,A,"Action, Drama, Romance            ",    Seenu(Sai Dharam Tej) falls in love with Shailu(Regina) and proposes to her but gets rejected every time.Twist in the tale arises when Seenu comes to know that Shailu is in danger posed by ...                See full summaryÂ Â»,160,6,276,AS Ravi Kumar Chowdary,Sai Dharam Tej, Regina Cassandra
Sri Ramulayya,1999,NA,Action            ,nan,0,4.8,276,Dasari Narayana Rao,Nandamuri Harikrishna, Soundarya
Boss,2006,U,Romance            ,"    Abandoned at birth at the Kasturba Annarthalay by her father, Gangulal, due to her gender, Anuradha grows up, and feels rejected when she is by-passed for adoption. When she grows up, she ...                See full summaryÂ Â»",151,4.2,276,V.N. Aditya,Nagarjuna, Nayanthara
Anaganaga Oka Roju,1997,U,"Action, Comedy, Drama            ",    Two runaway lovers are wanted both by the police and a bunch of crooks. Unknown to them they carry a powerful evidence that can expose a dirty political plot. The only person who can help ...                See full summaryÂ Â»,119,7.1,275,Ram Gopal Verma,Jagapathi Babu, Urmila Matondkar
Raghavendra,2003,NA,"Action, Drama, Romance            ",    Raghavendra's life comes to a standstill when his lover is killed by a ruthless don and starts to live a reclusive life. However circumstances forces him to fight against the perpetrators who have ruined his life.,151,4.9,274,K. Raghavendra Rao,Prabhas, Anshu
Kondaveeti Simhasanam,2002,U,"Action, Drama            ",nan,180,4,272,Dasari Narayana Rao,Balakrishna, Raveena Tandon
Cinema Chupista Maava,2015,NA,Family            ,"    Kaththi(Raj Tarun) is a careless youth who spends his life without any goal. One fine day, he falls in love with a Bengali girl named Parineetha(Avika Gor) and her father has some conditions for him to marry her daughter.",143,6.1,271,G. Neelakanta Reddy,Raj Tarun, Avika Gor
Hawaa,2019,UA,Crime            ,"    A Gripping Nightmarish Journey in Broad Daylight which revolves around 9 BRAINS, 9 CRIMES in 9 HOURS..!.",110,7,269,Mahesh Reddy,Chaitanya Madadi, Divi Vadthya
Toofan,2013,NA,Action            ,    ACP Vijay Khanna is transferred to Mumbai. He is assigned to an investigation that puts him face to face with the oil mafia.,137,3,268,Apoorva Lakhia,Ram Charan, Priyanka Chopra
Ongole Githa,2013,A,"Action, Comedy            ",    White(Ram) enters the Chilli market yard in Ongole at the age of 12. Adikeshava (Prakash Raj) is the chairman of that Chilli yard. White comes to know of Adikeshava's real character and ...                See full summaryÂ Â»,160,5.1,268,Bhaskar,Ram Pothineni, Kriti Kharbanda
Chukkallo Chandrudu,2006,NA,Drama            ,    A rich boy tries to identify the girl to marry from his 3 childhood friends.,146,5.4,268,Kodi Ramakrishna,Akkineni Nageswara Rao, Tabu
Indrudu Chandrudu,1989,U,"Comedy, Drama            ",    A corrupt mayor decides to live honest life.,158,7.2,268,K. Raghavendra Rao,Chiranjeevi, Vijayashanti
Varasudochhadu,1988,NA,Family            ,"    Nirmalamma's son runs away from home as a child. Years later, finding himself ill he asks Venkatesh to go to his home in his place. Once there Venkatesh sets about teaching a lesson to his ...                See full summaryÂ Â»",124,7.8,85,Kodi Ramakrishna,Venkatesh, Soundarya
Family Circus,2001,U,"Drama, Family            ",nan,127,6.6,85,Teja,Rajendra Prasad, Jagapati Babu
Edurinti Mogudu Pakkinti Pellam,1991,U,Comedy            ,"    Badhalabandee Vara Prasad alias Bava is a very big miser, his wife Jayalakshmi (Divyavani) is a spendthrift woman. Jaya not able to tolerate her husband's stingy attitude and leaves the ...                See full summaryÂ Â»",135,7.5,85,Relangi Narasimha Rao,Venkatesh, Meena
Adavi Ramudu,1977,U,"Action, Drama, Romance            ","    A forest officer in an undercover operation, raises all the tribal people and the villagers against the smugglers to teach them a lesson and gets them arrested.",159,7.2,85,K. Raghavendra Rao,NTR Jr., Aarthi Agarwal
